data,values,cod,abbreviation,kurs_rub
1965-10-01,Bolg lion,975,BGN,0.7692
1965-11-01,Bolg lion,975,BGN,0.7692
1965-12-01,Bolg lion,975,BGN,0.7692
1966-01-01,Bolg lion,975,BGN,0.7692
1966-02-01,Bolg lion,975,BGN,0.7692
1966-03-01,Bolg lion,975,BGN,0.7692
1966-04-01,Bolg lion,975,BGN,0.7692
1966-05-01,Bolg lion,975,BGN,0.7692
1966-06-01,Bolg lion,975,BGN,0.7692
1966-07-01,Bolg lion,975,BGN,0.7692
1966-08-01,Bolg lion,975,BGN,0.7692
1966-09-01,Bolg lion,975,BGN,0.7692
1966-10-01,Bolg lion,975,BGN,0.7692
1966-11-01,Bolg lion,975,BGN,0.7692
1966-12-01,Bolg lion,975,BGN,0.7692
1967-01-01,Bolg lion,975,BGN,0.7692
1967-02-01,Bolg lion,975,BGN,0.7692
1967-03-01,Bolg lion,975,BGN,0.7692
1967-04-01,Bolg lion,975,BGN,0.7692
1967-05-01,Bolg lion,975,BGN,0.7692
1967-06-01,Bolg lion,975,BGN,0.7692
1967-07-01,Bolg lion,975,BGN,0.7692
1967-08-01,Bolg lion,975,BGN,0.7692
1967-09-01,Bolg lion,975,BGN,0.7692
1967-10-01,Bolg lion,975,BGN,0.7692
1967-11-01,Bolg lion,975,BGN,0.7692
1967-12-01,Bolg lion,975,BGN,0.7692
1968-01-01,Bolg lion,975,BGN,0.7692
1968-02-01,Bolg lion,975,BGN,0.7692
1968-03-01,Bolg lion,975,BGN,0.7692
1968-04-01,Bolg lion,975,BGN,0.7692
1968-05-01,Bolg lion,975,BGN,0.7692
1968-06-01,Bolg lion,975,BGN,0.7692
1968-07-01,Bolg lion,975,BGN,0.7692
1968-08-01,Bolg lion,975,BGN,0.7692
1968-09-01,Bolg lion,975,BGN,0.7692
1968-10-01,Bolg lion,975,BGN,0.7692
1968-11-01,Bolg lion,975,BGN,0.7692
1968-12-01,Bolg lion,975,BGN,0.7692
1969-01-01,Bolg lion,975,BGN,0.7692
